State,Census Division,Census Region,Gender,Age Group,Gender&Age,Education,Annual Income,Checking Account,Savings Account,Overdraw,Other Investments,Other Retirement Accounts,Number of Credit Cards,Credit Card Balance Interest,Emergency Funds,Retirement Planning,Health Insurance,Financial Confidence,Financial Knowledge,Emergency Funds_score,Retirement Planning_score,Health Insurance_score,Checking Account_score,Savings Account_score,Other Investments_score,Other Retirement Accounts_score,Overdraw_score,Credit Card Balance Interest_score,Number of Credit Cards_score,Total_Score,FinLit_Level
Oklahoma,West South Central,South,Male,25-34,Male 25-34,"Some college, no degree","At least $50,000 but less than $75,000",Yes,Yes,No,Yes,Yes,1,Yes,No,No,Yes,Moderately agree,6,1,1,5,3,3,3,3,3,1,2,25,Average
New Hampshire,New England,Northeast,Male,35-44,Male 35-44,High school graduate - regular high school diploma,"At least $35,000 but less than $50,000",Yes,Yes,Yes,No,,No credit cards,,No,Yes,Yes,Slightly agree,6,1,3,5,3,3,1,,1,,1,18,Moderately Low
Nevada,Mountain,West,Male,25-34,Male 25-34,High school graduate - regular high school diploma,"At least $25,000 but less than $35,000",Yes,Yes,No,No,,No credit cards,,No,No,Yes,Strongly agree,6,1,1,5,3,3,1,,3,,1,18,Moderately Low
Nevada,Mountain,West,Female,65+,Female 65+,High school graduate - GED or alternative credential,"At least $50,000 but less than $75,000",Yes,No,Yes,No,,2 to 3,Yes,No,,Yes,Moderately disagree,Don't know,1,,5,3,1,1,,1,1,3,16,Moderately Low
Nevada,Mountain,West,Male,35-44,Male 35-44,Associate's degree,"At least $100,000 but less than $150,000",Yes,Yes,No,Yes,,2 to 3,No,Yes,,Yes,Strongly agree,7,5,,5,3,3,3,,3,3,3,28,Moderately High
Utah,Mountain,West,Male,18-24,Male 18-24,High school graduate - regular high school diploma,"Less than $15,000",Yes,Yes,No,No,,No credit cards,,Don't know,No,Yes,Strongly agree,5,0,1,5,3,3,1,,3,,1,17,Moderately Low
Kansas,West North Central,Midwest,Male,45-54,Male 45-54,"Some college, no degree","At least $75,000 but less than $100,000",Yes,No,No,Yes,No,4 to 8,Yes,No,Yes,Yes,Strongly agree,6,1,3,5,3,1,3,1,3,1,3,24,Average
New Hampshire,New England,Northeast,Male,65+,Male 65+,"Some college, no degree","At least $35,000 but less than $50,000",Yes,Yes,No,No,,2 to 3,No,Yes,,Yes,Strongly agree,7,5,,5,3,3,1,,3,3,3,26,Average
Colorado,Mountain,West,Male,18-24,Male 18-24,High school graduate - regular high school diploma,"Less than $15,000",Yes,Yes,No,No,,No credit cards,,No,No,Yes,Slightly agree,3,1,1,5,3,3,1,,3,,1,18,Moderately Low
Oklahoma,West South Central,South,Female,65+,Female 65+,High school graduate - regular high school diploma,"At least $25,000 but less than $35,000",Yes,Yes,No,No,,2 to 3,Yes,No,,Yes,Strongly agree,6,1,,5,3,3,1,,3,1,3,20,Average
Oklahoma,West South Central,South,Female,65+,Female 65+,Associate's degree,"At least $15,000 but less than $25,000",Yes,No,Yes,No,,2 to 3,No,No,Don't know,Yes,Neither agree nor disagree,4,1,0,5,3,1,1,,1,3,3,18,Moderately Low
New Mexico,Mountain,West,Male,25-34,Male 25-34,High school graduate - GED or alternative credential,"Less than $15,000",Yes,Yes,No,No,,1,Yes,No,No,No,Strongly agree,3,1,1,1,3,3,1,,3,1,2,16,Moderately Low
New Hampshire,New England,Northeast,Female,65+,Female 65+,High school graduate - regular high school diploma,"At least $35,000 but less than $50,000",Yes,Yes,No,Yes,,2 to 3,Yes,No,,Yes,Strongly agree,7,1,,5,3,3,3,,3,1,3,22,Average
Colorado,Mountain,West,Male,18-24,Male 18-24,"Some college, no degree","At least $75,000 but less than $100,000",Yes,No,Prefer not to say,Yes,,1,Prefer not to say,No,No,Yes,Moderately agree,Prefer not to say,1,1,5,3,1,3,,0,0,2,16,Moderately Low
Kansas,West North Central,Midwest,Female,65+,Female 65+,High school graduate - regular high school diploma,"Less than $15,000",Yes,Yes,No,No,,2 to 3,No,Yes,,Yes,Strongly agree,6,5,,5,3,3,1,,3,3,3,26,Average
New Hampshire,New England,Northeast,Male,25-34,Male 25-34,"Some college, no degree","At least $35,000 but less than $50,000",Yes,No,No,No,No,4 to 8,Yes,No,Yes,Yes,Strongly agree,7,1,3,5,3,1,1,1,3,1,3,22,Average
Utah,Mountain,West,Male,18-24,Male 18-24,High school graduate - GED or alternative credential,"At least $15,000 but less than $25,000",Yes,Yes,Yes,Yes,Yes,2 to 3,Yes,No,Yes,No,Slightly agree,4,1,3,1,3,3,3,3,1,1,3,22,Average
Utah,Mountain,West,Male,18-24,Male 18-24,High school graduate - GED or alternative credential,"At least $35,000 but less than $50,000",Yes,Yes,No,No,,No credit cards,,No,No,Don't know,Slightly agree,5,1,1,0,3,3,1,,3,,1,13,Moderately Low
Kansas,West North Central,Midwest,Male,55-64,Male 55-64,Associate's degree,"At least $150,000 but less than $200,000",Yes,Yes,No,Yes,,2 to 3,Yes,Yes,,Yes,Strongly agree,6,5,,5,3,3,3,,3,1,3,26,Average
New Hampshire,New England,Northeast,Male,35-44,Male 35-44,High school graduate - regular high school diploma,"At least $25,000 but less than $35,000",Yes,Yes,Yes,No,,1,Yes,No,No,No,Slightly disagree,5,1,1,1,3,3,1,,1,1,2,14,Moderately Low
Kansas,West North Central,Midwest,Male,55-64,Male 55-64,Associate's degree,"At least $75,000 but less than $100,000",Yes,Yes,No,Yes,Yes,1,No,Yes,Yes,Yes,Strongly agree,7,5,3,5,3,3,3,3,3,3,2,33,Moderately High
Nevada,Mountain,West,Male,25-34,Male 25-34,High school graduate - GED or alternative credential,"Less than $15,000",Yes,Yes,Yes,No,,No credit cards,,No,Yes,Prefer not to say,Strongly agree,6,1,3,0,3,3,1,,1,,1,13,Moderately Low
Washington,Pacific,West,Male,18-24,Male 18-24,High school graduate - regular high school diploma,"At least $15,000 but less than $25,000",Yes,Yes,No,No,,No credit cards,,No,Don't know,No,Neither agree nor disagree,4,1,0,1,3,3,1,,3,,1,13,Moderately Low
Oklahoma,West South Central,South,Female,65+,Female 65+,"Some college, no degree","At least $35,000 but less than $50,000",Yes,Yes,No,Yes,Yes,4 to 8,No,Yes,Yes,Yes,Strongly agree,7,5,3,5,3,3,3,3,3,3,3,34,High
Oklahoma,West South Central,South,Female,65+,Female 65+,Associate's degree,"At least $50,000 but less than $75,000",Yes,Yes,No,Yes,,1,No,Yes,,Yes,Strongly agree,7,5,,5,3,3,3,,3,3,2,27,Moderately High
Nevada,Mountain,West,Male,25-34,Male 25-34,High school graduate - GED or alternative credential,"At least $25,000 but less than $35,000",No,No,,,,No credit cards,,No,No,Yes,Neither agree nor disagree,4,1,1,5,1,1,,,,,1,10,Low
Utah,Mountain,West,Female,65+,Female 65+,"Some college, no degree","At least $25,000 but less than $35,000",Yes,Yes,No,No,Yes,2 to 3,No,Yes,Yes,Yes,Strongly agree,7,5,3,5,3,3,1,3,3,3,3,32,Moderately High
Maine,New England,Northeast,Male,25-34,Male 25-34,"Some college, no degree","At least $50,000 but less than $75,000",Yes,Yes,No,No,Yes,4 to 8,Yes,No,Yes,Yes,Moderately disagree,5,1,3,5,3,3,1,3,3,1,3,26,Average
Louisiana,West South Central,South,Male,25-34,Male 25-34,Associate's degree,"Less than $15,000",Yes,Yes,No,No,,2 to 3,Yes,No,No,Yes,Moderately agree,5,1,1,5,3,3,1,,3,1,3,21,Average
Utah,Mountain,West,Male,18-24,Male 18-24,High school graduate - GED or alternative credential,"At least $50,000 but less than $75,000",Yes,Yes,Yes,Yes,,2 to 3,Yes,Yes,Yes,Yes,Moderately agree,6,5,3,5,3,3,3,,1,1,3,27,Moderately High
Colorado,Mountain,West,Male,18-24,Male 18-24,High school graduate - regular high school diploma,"At least $15,000 but less than $25,000",Yes,Yes,No,No,,Don't know,,No,Yes,Yes,Slightly agree,4,1,3,5,3,3,1,,3,,0,19,Moderately Low
New Hampshire,New England,Northeast,Male,25-34,Male 25-34,"Some college, no degree","At least $75,000 but less than $100,000",Yes,Yes,No,Yes,,No credit cards,,No,Yes,No,Slightly agree,5,1,3,1,3,3,3,,3,,1,18,Moderately Low
Nevada,Mountain,West,Male,25-34,Male 25-34,High school graduate - GED or alternative credential,"At least $25,000 but less than $35,000",Yes,No,No,No,,No credit cards,,No,Yes,Yes,Moderately agree,1,1,3,5,3,1,1,,3,,1,18,Moderately Low
Kansas,West North Central,Midwest,Male,65+,Male 65+,Associate's degree,"At least $75,000 but less than $100,000",Yes,Yes,No,Yes,,Prefer not to say,,Yes,,Yes,Strongly agree,7,5,,5,3,3,3,,3,,0,22,Average
Arkansas,West South Central,South,Female,55-64,Female 55-64,Associate's degree,"At least $150,000 but less than $200,000",Yes,Yes,No,Yes,Yes,2 to 3,No,Yes,Yes,Yes,Strongly agree,7,5,3,5,3,3,3,3,3,3,3,34,High
Oklahoma,West South Central,South,Male,25-34,Male 25-34,"Some college, no degree","At least $50,000 but less than $75,000",No,No,,,,No credit cards,,Yes,No,No,Moderately agree,6,5,1,1,1,1,,,,,1,10,Low
Oklahoma,West South Central,South,Female,65+,Female 65+,High school graduate - regular high school diploma,"At least $35,000 but less than $50,000",Yes,Yes,Yes,No,,No credit cards,,No,,Yes,Moderately agree,5,1,,5,3,3,1,,1,,1,15,Moderately Low
Utah,Mountain,West,Male,18-24,Male 18-24,High school graduate - regular high school diploma,"At least $15,000 but less than $25,000",Yes,Yes,Yes,No,,No credit cards,,No,No,No,Slightly disagree,5,1,1,1,3,3,1,,1,,1,12,Low
Oklahoma,West South Central,South,Female,65+,Female 65+,High school graduate - GED or alternative credential,"At least $25,000 but less than $35,000",Yes,No,No,No,,4 to 8,Yes,No,,Yes,Neither agree nor disagree,4,1,,5,3,1,1,,3,1,3,18,Moderately Low
New Hampshire,New England,Northeast,Female,18-24,Female 18-24,High school graduate - regular high school diploma,"At least $25,000 but less than $35,000",Yes,Don't know,Yes,No,,2 to 3,Yes,No,No,No,Strongerly disagree,5,1,1,1,3,0,1,,1,1,3,12,Low
Oklahoma,West South Central,South,Female,65+,Female 65+,Did not complete high school,"At least $15,000 but less than $25,000",Yes,No,Yes,No,,No credit cards,,No,,Yes,Neither agree nor disagree,4,1,,5,3,1,1,,1,,1,13,Moderately Low
New Hampshire,New England,Northeast,Female,65+,Female 65+,"Some college, no degree","At least $25,000 but less than $35,000",Yes,Yes,Yes,No,,4 to 8,Yes,No,,Yes,Slightly agree,4,1,,5,3,3,1,,1,1,3,18,Moderately Low
Oklahoma,West South Central,South,Male,18-24,Male 18-24,"Some college, no degree","At least $50,000 but less than $75,000",Yes,No,No,No,,1,No,No,No,Yes,Moderately agree,6,1,1,5,3,1,1,,3,3,2,20,Average
Kansas,West North Central,Midwest,Male,45-54,Male 45-54,High school graduate - GED or alternative credential,"At least $75,000 but less than $100,000",Yes,Yes,No,Yes,Yes,4 to 8,Yes,Yes,Yes,Yes,Moderately agree,6,5,3,5,3,3,3,3,3,1,3,32,Moderately High
Nevada,Mountain,West,Male,25-34,Male 25-34,High school graduate - GED or alternative credential,"At least $100,000 but less than $150,000",Yes,Yes,Yes,No,,4 to 8,Yes,No,No,Yes,Neither agree nor disagree,4,1,1,5,3,3,1,,1,1,3,19,Moderately Low
Oklahoma,West South Central,South,Male,25-34,Male 25-34,High school graduate - regular high school diploma,"At least $75,000 but less than $100,000",Yes,Yes,No,No,Yes,2 to 3,Yes,Yes,Yes,Yes,Strongly agree,5,5,3,5,3,3,1,3,3,1,3,30,Moderately High
Nevada,Mountain,West,Male,25-34,Male 25-34,High school graduate - regular high school diploma,"At least $75,000 but less than $100,000",Yes,Yes,No,No,,2 to 3,Yes,No,No,Yes,Strongly agree,7,1,1,5,3,3,1,,3,1,3,21,Average
Utah,Mountain,West,Male,18-24,Male 18-24,High school graduate - GED or alternative credential,"At least $25,000 but less than $35,000",Yes,Yes,No,No,,2 to 3,Yes,No,No,Yes,Moderately agree,5,1,1,5,3,3,1,,3,1,3,21,Average
New Hampshire,New England,Northeast,Female,18-24,Female 18-24,High school graduate - GED or alternative credential,"Less than $15,000",Yes,Yes,No,No,,1,No,Yes,No,No,Strongly agree,5,5,1,1,3,3,1,,3,3,2,22,Average
New Mexico,Mountain,West,Female,45-54,Female 45-54,High school graduate - GED or alternative credential,"Less than $15,000",Yes,Yes,Yes,No,No,No credit cards,,No,No,No,Strongly agree,4,1,1,1,3,3,1,1,1,,1,13,Moderately Low
Hawaii,Pacific,West,Male,35-44,Male 35-44,High school graduate - regular high school diploma,"At least $50,000 but less than $75,000",Yes,Yes,No,No,,2 to 3,No,Yes,Yes,Yes,Strongly agree,7,5,3,5,3,3,1,,3,3,3,29,Moderately High
Oklahoma,West South Central,South,Female,65+,Female 65+,High school graduate - GED or alternative credential,"Less than $15,000",Yes,No,No,No,,No credit cards,,No,,Yes,Strongly agree,Don't know,1,,5,3,1,1,,3,,1,15,Moderately Low
Nevada,Mountain,West,Male,25-34,Male 25-34,High school graduate - regular high school diploma,"At least $15,000 but less than $25,000",No,No,,,,2 to 3,No,Yes,No,Yes,Moderately disagree,6,5,1,5,1,1,,,,3,3,19,Moderately Low
Kansas,West North Central,Midwest,Male,55-64,Male 55-64,High school graduate - GED or alternative credential,"At least $75,000 but less than $100,000",Yes,Yes,No,No,Yes,4 to 8,Yes,Yes,Yes,Yes,Slightly agree,6,5,3,5,3,3,1,3,3,1,3,30,Moderately High
Oklahoma,West South Central,South,Female,65+,Female 65+,High school graduate - regular high school diploma,"At least $25,000 but less than $35,000",Yes,Yes,Yes,Yes,,2 to 3,Yes,No,,Yes,Strongly agree,5,1,,5,3,3,3,,1,1,3,20,Average
New Hampshire,New England,Northeast,Male,25-34,Male 25-34,High school graduate - GED or alternative credential,"At least $75,000 but less than $100,000",Yes,Yes,No,Yes,,4 to 8,Yes,Yes,No,No,Slightly agree,6,5,1,1,3,3,3,,3,1,3,23,Average
Utah,Mountain,West,Female,65+,Female 65+,High school graduate - GED or alternative credential,"At least $15,000 but less than $25,000",Yes,No,Yes,No,,No credit cards,,No,,Yes,Slightly disagree,1,1,,5,3,1,1,,1,,1,13,Moderately Low
Utah,Mountain,West,Female,65+,Female 65+,High school graduate - GED or alternative credential,"At least $50,000 but less than $75,000",Yes,Yes,No,No,,No credit cards,,No,No,Yes,Strongly agree,5,1,1,5,3,3,1,,3,,1,18,Moderately Low
New Hampshire,New England,Northeast,Male,65+,Male 65+,High school graduate - regular high school diploma,"At least $25,000 but less than $35,000",Yes,Yes,No,Yes,,1,No,Yes,,Yes,Neither agree nor disagree,3,5,,5,3,3,3,,3,3,2,27,Moderately High
Maine,New England,Northeast,Male,25-34,Male 25-34,"Some college, no degree","At least $35,000 but less than $50,000",Yes,Yes,No,No,,2 to 3,Don't know,Yes,Yes,Don't know,Strongly agree,6,5,3,0,3,3,1,,3,0,3,21,Average
Oklahoma,West South Central,South,Male,18-24,Male 18-24,"Some college, no degree","At least $15,000 but less than $25,000",Yes,Yes,No,No,,2 to 3,No,Yes,Yes,Yes,Strongly agree,6,5,3,5,3,3,1,,3,3,3,29,Moderately High
Hawaii,Pacific,West,Male,25-34,Male 25-34,High school graduate - GED or alternative credential,"At least $50,000 but less than $75,000",Yes,Yes,No,No,No,2 to 3,Yes,Yes,Yes,Yes,Strongly agree,6,5,3,5,3,3,1,1,3,1,3,28,Moderately High
Nevada,Mountain,West,Male,25-34,Male 25-34,High school graduate - regular high school diploma,"At least $15,000 but less than $25,000",Yes,No,Yes,No,,4 to 8,Yes,No,No,Yes,Strongly agree,5,1,1,5,3,1,1,,1,1,3,17,Moderately Low
Hawaii,Pacific,West,Female,18-24,Female 18-24,"Some college, no degree","At least $35,000 but less than $50,000",Yes,Yes,No,No,,2 to 3,No,No,No,Yes,Moderately agree,6,1,1,5,3,3,1,,3,3,3,23,Average
Oklahoma,West South Central,South,Female,65+,Female 65+,High school graduate - regular high school diploma,"At least $25,000 but less than $35,000",Yes,No,No,No,,2 to 3,Yes,No,,Yes,Moderately agree,6,1,,5,3,1,1,,3,1,3,18,Moderately Low
New Hampshire,New England,Northeast,Female,65+,Female 65+,"Some college, no degree","At least $100,000 but less than $150,000",Yes,Yes,No,Yes,,4 to 8,No,Yes,,Yes,Strongly agree,5,5,,5,3,3,3,,3,3,3,28,Moderately High
Maine,New England,Northeast,Male,25-34,Male 25-34,"Some college, no degree","At least $35,000 but less than $50,000",Yes,Yes,No,No,,4 to 8,No,No,No,Yes,Slightly disagree,4,1,1,5,3,3,1,,3,3,3,23,Average
Hawaii,Pacific,West,Male,25-34,Male 25-34,High school graduate - GED or alternative credential,"At least $100,000 but less than $150,000",Yes,Yes,Yes,Yes,Yes,2 to 3,Yes,Yes,Yes,Yes,Moderately agree,6,5,3,5,3,3,3,3,1,1,3,30,Moderately High
Nevada,Mountain,West,Male,25-34,Male 25-34,High school graduate - GED or alternative credential,"At least $100,000 but less than $150,000",Yes,Yes,Yes,No,Yes,4 to 8,Yes,No,No,Yes,Slightly disagree,4,1,1,5,3,3,1,3,1,1,3,22,Average
Alaska,Pacific,West,Male,18-24,Male 18-24,High school graduate - GED or alternative credential,"At least $15,000 but less than $25,000",Yes,Yes,No,Yes,,No credit cards,,No,Yes,Yes,Moderately agree,6,1,3,5,3,3,3,,3,,1,22,Average
West Virginia,South Atlantic,South,Male,25-34,Male 25-34,High school graduate - regular high school diploma,"At least $35,000 but less than $50,000",Yes,Yes,Yes,No,Yes,4 to 8,No,No,Yes,Yes,Moderately disagree,3,1,3,5,3,3,1,3,1,3,3,26,Average
New Hampshire,New England,Northeast,Female,18-24,Female 18-24,High school graduate - GED or alternative credential,"At least $75,000 but less than $100,000",Yes,Yes,Yes,Yes,Yes,No credit cards,,No,No,Yes,Moderately agree,4,1,1,5,3,3,3,3,1,,1,21,Average
Colorado,Mountain,West,Male,18-24,Male 18-24,High school graduate - regular high school diploma,"At least $50,000 but less than $75,000",Yes,Yes,Yes,Yes,,4 to 8,Yes,No,No,Yes,Moderately agree,4,1,1,5,3,3,3,,1,1,3,21,Average
Hawaii,Pacific,West,Female,55-64,Female 55-64,High school graduate - GED or alternative credential,"At least $50,000 but less than $75,000",Yes,Yes,No,No,,2 to 3,No,Yes,No,Yes,Strongly agree,5,5,1,5,3,3,1,,3,3,3,27,Moderately High
New Hampshire,New England,Northeast,Male,25-34,Male 25-34,High school graduate - GED or alternative credential,"At least $50,000 but less than $75,000",No,No,,,No,1,Yes,No,No,Yes,Neither agree nor disagree,Don't know,1,1,5,1,1,,1,,1,2,13,Moderately Low
Hawaii,Pacific,West,Male,25-34,Male 25-34,High school graduate - GED or alternative credential,"At least $50,000 but less than $75,000",Yes,Yes,No,Yes,,4 to 8,Yes,Yes,Yes,Yes,Moderately agree,6,5,3,5,3,3,3,,3,1,3,29,Moderately High
Oklahoma,West South Central,South,Male,25-34,Male 25-34,High school graduate - GED or alternative credential,"At least $15,000 but less than $25,000",No,No,,,,No credit cards,,No,No,No,Slightly agree,7,1,1,1,1,1,,,,,1,6,Low
Nevada,Mountain,West,Male,25-34,Male 25-34,High school graduate - GED or alternative credential,"At least $15,000 but less than $25,000",Yes,Yes,No,No,,2 to 3,Yes,Yes,Yes,No,Moderately agree,4,5,3,1,3,3,1,,3,1,3,23,Average
Oklahoma,West South Central,South,Female,65+,Female 65+,High school graduate - regular high school diploma,"At least $50,000 but less than $75,000",Yes,Yes,Yes,Yes,,9 to 12,Yes,No,,Yes,Strongly agree,5,1,,5,3,3,3,,1,1,1,18,Moderately Low
Colorado,Mountain,West,Male,18-24,Male 18-24,High school graduate - regular high school diploma,"Less than $15,000",Yes,Yes,No,Yes,,No credit cards,,No,No,Yes,Strongly agree,4,1,1,5,3,3,3,,3,,1,20,Average
Utah,Mountain,West,Male,18-24,Male 18-24,High school graduate - GED or alternative credential,"Less than $15,000",Yes,Yes,No,Yes,,1,No,Yes,No,Yes,Strongly agree,7,5,1,5,3,3,3,,3,3,2,28,Moderately High
Oklahoma,West South Central,South,Male,25-34,Male 25-34,"Some college, no degree","At least $35,000 but less than $50,000",Yes,Yes,No,Yes,,4 to 8,Yes,No,Yes,Yes,Moderately agree,5,1,3,5,3,3,3,,3,1,3,25,Average
Oklahoma,West South Central,South,Male,25-34,Male 25-34,High school graduate - GED or alternative credential,"At least $25,000 but less than $35,000",Yes,Yes,Yes,No,,Don't know,,No,No,No,Neither agree nor disagree,4,1,1,1,3,3,1,,1,,0,11,Low
New Hampshire,New England,Northeast,Male,65+,Male 65+,High school graduate - GED or alternative credential,"At least $35,000 but less than $50,000",Yes,Yes,Yes,No,,2 to 3,Yes,Yes,,Yes,Moderately agree,5,5,,5,3,3,1,,1,1,3,22,Average
New Hampshire,New England,Northeast,Female,18-24,Female 18-24,"Some college, no degree","At least $50,000 but less than $75,000",Yes,Yes,No,Yes,No,4 to 8,No,No,No,Yes,Neither agree nor disagree,5,1,1,5,3,3,3,1,3,3,3,26,Average
Utah,Mountain,West,Male,18-24,Male 18-24,High school graduate - GED or alternative credential,"Less than $15,000",Yes,Yes,No,No,,1,No,No,Yes,Yes,Strongly agree,5,1,3,5,3,3,1,,3,3,2,24,Average
Oklahoma,West South Central,South,Male,25-34,Male 25-34,High school graduate - regular high school diploma,"At least $35,000 but less than $50,000",Yes,No,Yes,Yes,Yes,1,Yes,No,Yes,Yes,Moderately agree,6,1,3,5,3,1,3,3,1,1,2,23,Average
Utah,Mountain,West,Male,18-24,Male 18-24,High school graduate - regular high school diploma,"At least $50,000 but less than $75,000",Yes,Yes,No,No,,1,No,No,No,No,Neither agree nor disagree,3,1,1,1,3,3,1,,3,3,2,18,Moderately Low
Hawaii,Pacific,West,Male,25-34,Male 25-34,Associate's degree,"At least $100,000 but less than $150,000",Yes,Yes,No,No,Yes,4 to 8,Yes,No,No,Yes,Moderately agree,6,1,1,5,3,3,1,3,3,1,3,24,Average
New Hampshire,New England,Northeast,Female,65+,Female 65+,"Some college, no degree","At least $25,000 but less than $35,000",Yes,Yes,No,Yes,,4 to 8,No,Yes,,Yes,Strongly agree,5,5,,5,3,3,3,,3,3,3,28,Moderately High
New Hampshire,New England,Northeast,Female,18-24,Female 18-24,High school graduate - GED or alternative credential,"Less than $15,000",Yes,Yes,No,No,,No credit cards,,No,No,Yes,Slightly agree,4,1,1,5,3,3,1,,3,,1,18,Moderately Low
Maine,New England,Northeast,Male,25-34,Male 25-34,Associate's degree,"At least $35,000 but less than $50,000",Yes,Yes,No,No,,4 to 8,No,Don't know,Don't know,Yes,Strongly agree,5,0,0,5,3,3,1,,3,3,3,21,Average
Oklahoma,West South Central,South,Female,65+,Female 65+,Did not complete high school,"At least $35,000 but less than $50,000",Yes,Yes,No,Yes,,2 to 3,Yes,No,,Yes,Strongly agree,5,1,,5,3,3,3,,3,1,3,22,Average
Oklahoma,West South Central,South,Female,65+,Female 65+,Associate's degree,"At least $15,000 but less than $25,000",Yes,Yes,No,No,,2 to 3,Yes,No,,Yes,Strongly agree,6,1,,5,3,3,1,,3,1,3,20,Average
Utah,Mountain,West,Male,18-24,Male 18-24,High school graduate - GED or alternative credential,"At least $50,000 but less than $75,000",Yes,Yes,No,No,,1,No,Yes,No,Yes,Strongly agree,6,5,1,5,3,3,1,,3,3,2,26,Average
Hawaii,Pacific,West,Female,65+,Female 65+,"Some college, no degree","At least $50,000 but less than $75,000",Yes,Yes,No,Yes,,4 to 8,No,No,,Yes,Moderately agree,4,1,,5,3,3,3,,3,3,3,24,Average
New Hampshire,New England,Northeast,Female,18-24,Female 18-24,High school graduate - regular high school diploma,"Less than $15,000",Yes,Yes,No,No,,No credit cards,,No,No,Yes,Moderately agree,4,1,1,5,3,3,1,,3,,1,18,Moderately Low
Hawaii,Pacific,West,Male,35-44,Male 35-44,"Some college, no degree","At least $35,000 but less than $50,000",Yes,Yes,No,No,Yes,No credit cards,,No,No,Yes,Slightly agree,5,1,1,5,3,3,1,3,3,,1,21,Average
Hawaii,Pacific,West,Male,35-44,Male 35-44,"Some college, no degree","At least $100,000 but less than $150,000",Yes,Yes,No,Yes,Yes,1,Yes,Yes,Yes,Yes,Strongly agree,6,5,3,5,3,3,3,3,3,1,2,31,Moderately High
Washington,Pacific,West,Male,18-24,Male 18-24,High school graduate - GED or alternative credential,"At least $25,000 but less than $35,000",Yes,Yes,Yes,No,,1,No,No,Yes,No,Slightly agree,5,1,3,1,3,3,1,,1,3,2,18,Moderately Low
Hawaii,Pacific,West,Male,35-44,Male 35-44,Associate's degree,"At least $100,000 but less than $150,000",Yes,Yes,No,Yes,Yes,4 to 8,No,Yes,Yes,Yes,Slightly agree,6,5,3,5,3,3,3,3,3,3,3,34,High
West Virginia,South Atlantic,South,Female,65+,Female 65+,High school graduate - regular high school diploma,"At least $15,000 but less than $25,000",Yes,No,No,No,,No credit cards,,No,No,Yes,Strongly agree,5,1,1,5,3,1,1,,3,,1,16,Moderately Low
Oklahoma,West South Central,South,Female,65+,Female 65+,High school graduate - GED or alternative credential,"At least $25,000 but less than $35,000",Yes,Yes,No,Yes,,2 to 3,Yes,No,,Yes,Strongly agree,6,1,,5,3,3,3,,3,1,3,22,Average
New Hampshire,New England,Northeast,Female,65+,Female 65+,High school graduate - GED or alternative credential,"At least $35,000 but less than $50,000",Yes,Yes,No,No,,4 to 8,No,Yes,,Yes,Strongly agree,4,5,,5,3,3,1,,3,3,3,26,Average
West Virginia,South Atlantic,South,Male,25-34,Male 25-34,Associate's degree,"At least $50,000 but less than $75,000",Yes,Yes,No,Yes,Yes,2 to 3,No,Yes,Yes,No,Strongly agree,6,5,3,1,3,3,3,3,3,3,3,30,Moderately High
New Hampshire,New England,Northeast,Female,18-24,Female 18-24,High school graduate - GED or alternative credential,"At least $50,000 but less than $75,000",Yes,Yes,Don't know,Yes,,No credit cards,,No,No,No,Strongly agree,5,1,1,1,3,3,3,,0,,1,13,Moderately Low
Nevada,Mountain,West,Male,18-24,Male 18-24,High school graduate - GED or alternative credential,"Less than $15,000",Yes,Yes,No,No,,1,Yes,No,No,Yes,Don't know,4,1,1,5,3,3,1,,3,1,2,20,Average
Utah,Mountain,West,Male,18-24,Male 18-24,High school graduate - regular high school diploma,"Less than $15,000",Yes,Yes,No,No,,No credit cards,,Yes,No,Yes,Strongly agree,6,5,1,5,3,3,1,,3,,1,22,Average
New Mexico,Mountain,West,Female,18-24,Female 18-24,High school graduate - GED or alternative credential,"Less than $15,000",Yes,Yes,No,No,,1,No,No,No,Yes,Strongly agree,5,1,1,5,3,3,1,,3,3,2,22,Average
Maine,New England,Northeast,Female,18-24,Female 18-24,"Some college, no degree","At least $25,000 but less than $35,000",Yes,Yes,No,No,,2 to 3,Yes,Yes,No,Yes,Strongly agree,4,5,1,5,3,3,1,,3,1,3,25,Average
New Hampshire,New England,Northeast,Male,25-34,Male 25-34,"Some college, no degree","At least $75,000 but less than $100,000",Yes,Yes,No,No,,No credit cards,,No,No,No,Moderately agree,5,1,1,1,3,3,1,,3,,1,14,Moderately Low
Louisiana,West South Central,South,Female,18-24,Female 18-24,Associate's degree,"Less than $15,000",Yes,Yes,No,No,,2 to 3,Yes,No,No,Don't know,Slightly agree,3,1,1,0,3,3,1,,3,1,3,16,Moderately Low
Hawaii,Pacific,West,Male,35-44,Male 35-44,"Some college, no degree","At least $100,000 but less than $150,000",Yes,Yes,Yes,No,Yes,2 to 3,Yes,No,No,Yes,Slightly agree,3,1,1,5,3,3,1,3,1,1,3,22,Average
Colorado,Mountain,West,Male,18-24,Male 18-24,High school graduate - GED or alternative credential,"Less than $15,000",Yes,Yes,Yes,No,,1,No,No,No,Yes,Moderately agree,6,1,1,5,3,3,1,,1,3,2,20,Average
