State,Census Division,Census Region,Gender,Age Group,Gender&Age,Education,Annual Income,Checking Account,Savings Account,Overdraw,Other Investments,Other Retirement Accounts,Number of Credit Cards,Credit Card Balance Interest,Emergency Funds,Retirement Planning,Health Insurance,Financial Confidence,Financial Knowledge,Emergency Funds_score,Retirement Planning_score,Health Insurance_score,Checking Account_score,Savings Account_score,Other Investments_score,Other Retirement Accounts_score,Overdraw_score,Credit Card Balance Interest_score,Number of Credit Cards_score,Total_Score,FinLit_Level
Louisiana,West South Central,South,Female,18-24,Female 18-24,"Some college, no degree","At least $50,000 but less than $75,000",Yes,Yes,Yes,No,No,1,Yes,No,Don't know,Yes,Neither agree nor disagree,7,1,0,5,3,3,1,1,1,1,2,18,Moderately Low
Tennessee,East South Central,South,Female,55-64,Female 55-64,Associate's degree,"At least $75,000 but less than $100,000",Yes,Yes,Yes,Yes,Yes,1,Yes,Yes,Yes,Yes,Moderately agree,5,5,3,5,3,3,3,3,1,1,2,29,Moderately High
California,Pacific,West,Female,55-64,Female 55-64,"Some college, no degree","Less than $15,000",Yes,No,Yes,No,,2 to 3,Yes,No,No,Yes,Strongly agree,3,1,1,5,3,1,1,,1,1,3,17,Moderately Low
Utah,Mountain,West,Male,45-54,Male 45-54,"Some college, no degree","At least $15,000 but less than $25,000",Yes,No,Yes,Yes,,2 to 3,Yes,No,Don't know,Yes,Strongly agree,5,1,0,5,3,1,3,,1,1,3,18,Moderately Low
New Jersey,Middle Atlantic,Northeast,Female,55-64,Female 55-64,High school graduate - GED or alternative credential,"At least $100,000 but less than $150,000",Yes,Yes,No,No,Yes,4 to 8,Yes,Yes,No,Yes,Strongly agree,5,5,1,5,3,3,1,3,3,1,3,28,Moderately High
Michigan,East North Central,Midwest,Female,35-44,Female 35-44,High school graduate - GED or alternative credential,"At least $75,000 but less than $100,000",Yes,Yes,No,No,Yes,2 to 3,Yes,No,No,Yes,Strongly agree,5,1,1,5,3,3,1,3,3,1,3,24,Average
Maryland,South Atlantic,South,Male,35-44,Male 35-44,Associate's degree,"At least $35,000 but less than $50,000",Yes,Yes,No,No,Yes,2 to 3,No,Yes,No,Yes,Moderately agree,4,5,1,5,3,3,1,3,3,3,3,30,Moderately High
California,Pacific,West,Female,65+,Female 65+,High school graduate - regular high school diploma,"At least $15,000 but less than $25,000",Yes,Yes,No,No,,4 to 8,No,Yes,,Yes,Strongly agree,6,5,,5,3,3,1,,3,3,3,26,Average
Washington,Pacific,West,Female,25-34,Female 25-34,Did not complete high school,"At least $25,000 but less than $35,000",Yes,No,No,No,,2 to 3,Yes,No,No,No,Neither agree nor disagree,4,1,1,1,3,1,1,,3,1,3,15,Moderately Low
New York,Middle Atlantic,Northeast,Female,55-64,Female 55-64,"Some college, no degree","At least $15,000 but less than $25,000",Yes,No,No,No,,No credit cards,,Don't know,No,No,Neither agree nor disagree,4,0,1,1,3,1,1,,3,,1,11,Low
New Mexico,Mountain,West,Male,55-64,Male 55-64,"Some college, no degree","At least $50,000 but less than $75,000",Yes,No,No,Yes,,2 to 3,No,Yes,,Yes,Strongly agree,6,5,,5,3,1,3,,3,3,3,26,Average
Pennsylvania,Middle Atlantic,Northeast,Female,35-44,Female 35-44,High school graduate - GED or alternative credential,"At least $50,000 but less than $75,000",No,No,,,Yes,2 to 3,Don't know,No,No,Don't know,Neither agree nor disagree,5,1,1,0,1,1,,3,,0,3,10,Low
New York,Middle Atlantic,Northeast,Female,65+,Female 65+,High school graduate - regular high school diploma,"Less than $15,000",Yes,Yes,No,No,,2 to 3,Yes,No,No,Yes,Strongly agree,5,1,1,5,3,3,1,,3,1,3,21,Average
Louisiana,West South Central,South,Female,18-24,Female 18-24,High school graduate - regular high school diploma,"At least $15,000 but less than $25,000",Yes,No,Yes,No,,No credit cards,,No,No,Yes,Neither agree nor disagree,4,1,1,5,3,1,1,,1,,1,14,Moderately Low
Ohio,East North Central,Midwest,Male,65+,Male 65+,"Some college, no degree","At least $25,000 but less than $35,000",Yes,Yes,Yes,Yes,,4 to 8,No,Yes,,Yes,Strongly agree,7,5,,5,3,3,3,,1,3,3,26,Average
Delaware,South Atlantic,South,Female,45-54,Female 45-54,Did not complete high school,"At least $35,000 but less than $50,000",Yes,No,No,No,,No credit cards,,No,No,No,Strongly agree,5,1,1,1,3,1,1,,3,,1,12,Low
Indiana,East North Central,Midwest,Female,35-44,Female 35-44,High school graduate - regular high school diploma,"At least $15,000 but less than $25,000",Yes,No,No,Yes,Yes,No credit cards,,Yes,Yes,No,Strongly agree,7,5,3,1,3,1,3,3,3,,1,23,Average
Georgia,South Atlantic,South,Male,35-44,Male 35-44,Associate's degree,"At least $50,000 but less than $75,000",Yes,No,Yes,Yes,No,1,No,No,Yes,Yes,Strongly agree,7,1,3,5,3,1,3,1,1,3,2,23,Average
Michigan,East North Central,Midwest,Male,65+,Male 65+,Associate's degree,"Less than $15,000",Prefer not to say,Prefer not to say,,Prefer not to say,,Prefer not to say,,Prefer not to say,Prefer not to say,Prefer not to say,Strongerly disagree,1,0,0,0,0,0,0,,,,0,0,Very Low
New York,Middle Atlantic,Northeast,Female,35-44,Female 35-44,High school graduate - GED or alternative credential,"At least $75,000 but less than $100,000",Yes,Yes,No,No,Yes,1,No,Yes,No,Yes,Strongly agree,5,5,1,5,3,3,1,3,3,3,2,29,Moderately High
Florida,South Atlantic,South,Male,65+,Male 65+,High school graduate - GED or alternative credential,"At least $35,000 but less than $50,000",Yes,Yes,No,Yes,,2 to 3,Yes,Yes,,Yes,Moderately agree,5,5,,5,3,3,3,,3,1,3,26,Average
South Carolina,South Atlantic,South,Female,65+,Female 65+,High school graduate - GED or alternative credential,"At least $35,000 but less than $50,000",Yes,Yes,No,Yes,No,2 to 3,No,Yes,No,Yes,Strongly agree,6,5,1,5,3,3,3,1,3,3,3,30,Moderately High
Virginia,South Atlantic,South,Female,55-64,Female 55-64,Associate's degree,"At least $25,000 but less than $35,000",Yes,No,No,Yes,,2 to 3,Yes,No,Yes,No,Strongly agree,4,1,3,1,3,1,3,,3,1,3,19,Moderately Low
Ohio,East North Central,Midwest,Male,45-54,Male 45-54,High school graduate - GED or alternative credential,"At least $50,000 but less than $75,000",Yes,No,Yes,No,,1,Yes,No,No,Yes,Moderately agree,6,1,1,5,3,1,1,,1,1,2,16,Moderately Low
Georgia,South Atlantic,South,Female,45-54,Female 45-54,High school graduate - regular high school diploma,"At least $35,000 but less than $50,000",Yes,No,No,Yes,Yes,No credit cards,,No,No,Yes,Neither agree nor disagree,5,1,1,5,3,1,3,3,3,,1,21,Average
Massachusetts,New England,Northeast,Male,55-64,Male 55-64,Associate's degree,"At least $50,000 but less than $75,000",Yes,No,No,No,,4 to 8,Yes,No,No,Yes,Strongly agree,5,1,1,5,3,1,1,,3,1,3,19,Moderately Low
Washington,Pacific,West,Female,35-44,Female 35-44,Associate's degree,"At least $50,000 but less than $75,000",Yes,Yes,No,Yes,Yes,4 to 8,Yes,Yes,No,Yes,Strongly agree,6,5,1,5,3,3,3,3,3,1,3,30,Moderately High
Tennessee,East South Central,South,Female,25-34,Female 25-34,"Some college, no degree","At least $35,000 but less than $50,000",Yes,Yes,No,Yes,Yes,1,No,Yes,Yes,Yes,Strongly agree,7,5,3,5,3,3,3,3,3,3,2,33,Moderately High
Florida,South Atlantic,South,Female,45-54,Female 45-54,"Some college, no degree","At least $15,000 but less than $25,000",Yes,Yes,No,No,,1,No,No,Yes,Yes,Moderately agree,1,1,3,5,3,3,1,,3,3,2,24,Average
Wisconsin,East North Central,Midwest,Female,65+,Female 65+,High school graduate - regular high school diploma,"At least $35,000 but less than $50,000",Yes,Yes,No,Yes,,2 to 3,No,Yes,,Yes,Strongly agree,6,5,,5,3,3,3,,3,3,3,28,Moderately High
Virginia,South Atlantic,South,Male,65+,Male 65+,"Some college, no degree","At least $75,000 but less than $100,000",Yes,Yes,No,Yes,,2 to 3,No,Yes,,Yes,Strongly agree,6,5,,5,3,3,3,,3,3,3,28,Moderately High
New York,Middle Atlantic,Northeast,Male,35-44,Male 35-44,High school graduate - regular high school diploma,"Less than $15,000",Yes,Yes,No,No,,No credit cards,,No,No,Yes,Neither agree nor disagree,5,1,1,5,3,3,1,,3,,1,18,Moderately Low
Connecticut,New England,Northeast,Female,55-64,Female 55-64,High school graduate - regular high school diploma,"Less than $15,000",Yes,No,Yes,No,,1,Yes,No,,Yes,Slightly agree,5,1,,5,3,1,1,,1,1,2,15,Moderately Low
